"bic_de","name","zip","city","code","bic","country:id"
"64070024","Deutsche Bank Privat und Geschäftskunden","72191","Nagold","Deutsche Bank PGK Nagold","DEUTDEDB643","base.de"
"64070024","Deutsche Bank Privat und Geschäftskunden","72102","Rottenburg am Neckar","Deutsche Bank PGK Rottenbur","DEUTDEDB645","base.de"
"64070024","Deutsche Bank Privat und Geschäftskunden","72231","Freudenstadt","Deutsche Bank PGK Freudenst","DEUTDEDB646","base.de"
"64070085","Deutsche Bank","72704","Reutlingen","Deutsche Bank Reutlingen","DEUTDESS640","base.de"
"64070085","Deutsche Bank","72003","Tübingen","Deutsche Bank Tübingen","DEUTDESS641","base.de"
"64070085","Deutsche Bank","72542","Metzingen, Württ","Deutsche Bank Metzingen Wü","DEUTDESS642","base.de"
"64070085","Deutsche Bank","72191","Nagold","Deutsche Bank Nagold","DEUTDESS643","base.de"
"64070085","Deutsche Bank","72783","Pfullingen","Deutsche Bank Pfullingen","DEUTDESS644","base.de"
"64070085","Deutsche Bank","72102","Rottenburg am Neckar","Deutsche Bank Rottenburg Ne","DEUTDESS645","base.de"
"64070085","Deutsche Bank","72231","Freudenstadt","Deutsche Bank Freudenstadt","DEUTDESS646","base.de"
"64080014","Commerzbank vormals Dresdner Bank","72704","Reutlingen","Commerzbank Reutlingen","DRESDEFF640","base.de"
"64090100","Volksbank Reutlingen","72764","Reutlingen","Volksbank Reutlingen","VBRTDE6RXXX","base.de"
"64091200","Volksbank Metzingen-Bad Urach","72542","Metzingen, Württ","VB Metzingen-Bad Urach","GENODES1MTZ","base.de"
"64091300","Volksbank Münsingen","72522","Münsingen, Württ","Volksbank Münsingen","GENODES1MUN","base.de"
"64120030","Baden-Württembergische Bank","72017","Tübingen","BW Bank Tübingen","SOLADEST641","base.de"
"64140036","Commerzbank Tübingen","72002","Tübingen","Commerzbank Tübingen","COBADEFF641","base.de"
"64150020","Kreissparkasse Tübingen","72008","Tübingen","Kr Spk Tübingen","SOLADES1TUB","base.de"
"64150182","Baden-Württemb.Bank/Landesbank Baden-Württemb.","72070","Tübingen","BW-Bank/LBBW Tübingen","SOLADEST470","base.de"
"64161397","Volksbank Ammerbuch","72117","Ammerbuch","Volksbank Ammerbuch","GENODES1AMM","base.de"
"64161608","Raiffeisenbank Härten -alt-","72127","Kusterdingen","Raiffbk Härten -alt-","GENODES1RHK","base.de"
"64161956","Volksbank","72110","Mössingen","Volksbank Mössingen","GENODES1VMO","base.de"
"64163225","Volksbank Hohenzollern","72379","Hechingen","Volksbank Hohenzollern","GENODES1VHZ","base.de"
"64180014","Commerzbank vormals Dresdner Bank","72003","Tübingen","Commerzbank Tübingen","DRESDEFF641","base.de"
"64190110","Volksbank Tübingen","72016","Tübingen","Volksbank Tübingen","GENODES1TUE","base.de"
"64191030","Volksbank Nagoldtal","72202","Nagold","Volksbank Nagoldtal","GENODES1NAG","base.de"
"64191210","Volksbank Nordschwarzwald","72213","Altensteig, Württ","Volksbank Nordschwarzwald","GENODES1ALT","base.de"
"64191700","Volksbank Horb -alt-","72151","Horb am Neckar","Volksbank Horb -alt-","GENODES1HOR","base.de"
"64232000","Bankhaus J. Faißt","78713","Schramberg","Faißtbank Schramberg","FAITDE66SBG","base.de"
"64240048","Commerzbank","78647","Trossingen","Commerzbank TR F-T48","COBADEFF967","base.de"
"64240071","Commerzbank","78628","Rottweil","Commerzbank Rottweil","COBADEFF642","base.de"
"64250040","Kreissparkasse Rottweil","78614","Rottweil","Kr Spk Rottweil","SOLADES1RWL","base.de"
"64251060","Kreissparkasse Freudenstadt","72235","Freudenstadt","Kr Spk Freudenstadt","SOLADES1FDS","base.de"
"64261363","Volksbank Baiersbronn","72270","Baiersbronn","Volksbank Baiersbronn","GENODES1BAI","base.de"
"64261626","Murgtalbank Mitteltal - Obertal -alt-","72270","Baiersbronn","Murgtalbank -alt-","GENODES1MMO","base.de"
"64261853","Volksbank Nordschwarzwald","72285","Pfalzgrafenweiler","VB Nordschwarzwald","GENODES1PGW","base.de"
"64262408","Volksbank Dornstetten","72277","Dornstetten, Württ","Volksbank Dornstetten","GENODES1VDS","base.de"
"64263273","Volksbank Bösingen Dunningen Fluorn-Winzeln -alt-","78653","Dunningen, Württ","Volksbank Dunningen -alt-","GENODES1DUN","base.de"
"64290120","Volksbank Rottweil","78618","Rottweil","Volksbank Rottweil","GENODES1VRW","base.de"
"64291010","Volksbank Horb-Freudenstadt","72250","Freudenstadt","VB Horb-Freudenstadt","GENODES1FDS","base.de"
"64291420","Volksbank Deißlingen","78649","Deißlingen, Neckar","Volksbank Deißlingen","GENODES1VDL","base.de"
"64292020","Volksbank Schwarzwald-Neckar","78702","Schramberg","VB Schwarzwald-Neckar","GENODES1SBG","base.de"
"64292310","Volksbank Trossingen","78640","Trossingen","Volksbank Trossingen","GENODES1TRO","base.de"
"64350070","Kreissparkasse Tuttlingen","78502","Tuttlingen","Kr Spk Tuttlingen","SOLADES1TUT","base.de"
"64361359","Raiffeisenbank Donau-Heuberg","78568","Mühlheim an der Donau","Raiffbk Donau-Heuberg","GENODES1RDH","base.de"
"64380011","Commerzbank vormals Dresdner Bank","78506","Tuttlingen","Commerzbank Tuttlingen","DRESDEFF643","base.de"
"64390130","Volksbank Donau-Neckar","78513","Tuttlingen","Volksbank Donau-Neckar","GENODES1TUT","base.de"
"64420030","Baden-Württembergische Bank","78019","Villingen-Schwenningen","BW Bank VS-Schwenningen","SOLADEST644","base.de"
"64450288","Baden-Württemb.Bank/Landesbank Baden-Württemb.","78054","Villingen-Schwenningen","BW-Bank/LBBW Vill.-Schwen.","SOLADEST480","base.de"
"65000000","Bundesbank eh Ravensburg","89018","Ulm, Donau","BBk Ulm eh Ravensburg","MARKDEF1650","base.de"
"65020030","Baden-Württembergische Bank","88194","Ravensburg, Württ","BW Bank Ravensburg","SOLADEST650","base.de"
"65020186","UniCredit Bank - HypoVereinsbank","88181","Ravensburg, Württ","UniCredit Bank-HypoVereinbk","HYVEDEMM588","base.de"
"65040073","Commerzbank","88212","Ravensburg, Württ","Commerzbank Ravensburg","COBADEFF650","base.de"
"65050110","Kreissparkasse Ravensburg","88209","Ravensburg, Württ","Kr Spk Ravensburg","SOLADES1RVB","base.de"
